report,type,option,args
backlinks,backlinks_refdomains,description,"This report lists domains pointing to the queried domain, root domain, or URL."
backlinks,backlinks_refips,target,
backlinks,backlinks_refips,target_type,
backlinks,backlinks_refips,display_limit,
backlinks,backlinks_refips,export_columns,ip;country;domains_num;backlinks_num;first_seen;last_seen
backlinks,backlinks_refips,required,target;target_type
backlinks,backlinks_refips,description,"This report lists IP addresses where backlinks to a domain, root domain, or URL are coming from."
backlinks,backlinks_tld,type,
backlinks,backlinks_tld,target_type,
backlinks,backlinks_tld,display_limit,
backlinks,backlinks_tld,export_columns,zone;domains_num;backlinks_num
backlinks,backlinks_tld,required,target;target_type
backlinks,backlinks_tld,description,This report shows referring domain distributions depending on their top-level domain type.
backlinks,backlinks_geo,target,
backlinks,backlinks_geo,target_type,
backlinks,backlinks_geo,display_limit,
backlinks,backlinks_geo,export_columns,country;domains_num;backlinks_num
backlinks,backlinks_geo,required,target;target_type
backlinks,backlinks_geo,description,This report shows referring domain distributions by country (an IP address defines a country).
backlinks,backlinks_anchors,target,
backlinks,backlinks_anchors,target_type,
backlinks,backlinks_anchors,display_limit,
backlinks,backlinks_anchors,export_columns,anchor;domains_num;backlinks_num;first_seen;last_seen
backlinks,backlinks_anchors,required,target;target_type
backlinks,backlinks_anchors,description,"This report lists anchor texts used in backlinks leading to the queried domain, root domain, or URL. It also includes the number of backlinks and referring domains per anchor."
backlinks,backlinks_pages,target,
backlinks,backlinks_pages,target_type,
backlinks,backlinks_pages,display_limit,
backlinks,backlinks_pages,export_columns,source_url;source_title;response_code;backlinks_num;domains_num;last_seen;external_num;internal_num
backlinks,backlinks_pages,required,target;target_type
backlinks,backlinks_pages,description,This report shows indexed pages of the queried domain
backlinks,backlinks_competitors,target,
backlinks,backlinks_competitors,target_type,
backlinks,backlinks_competitors,display_limit,
backlinks,backlinks_competitors,export_columns,ascore;neighbour;similarity;common_refdomains;domains_num;backlinks_num
backlinks,backlinks_competitors,required,target;target_type
backlinks,backlinks_competitors,description,A list of domains with a similar backlink profile to the analyzed domain.
backlinks,backlinks_ascore_profile,target,
backlinks,backlinks_ascore_profile,target_type,
backlinks,backlinks_ascore_profile,export_columns,
backlinks,backlinks_ascore_profile,required,target;target_type
backlinks,backlinks_ascore_profile,description,"This report returns distribution of referring domains by Authority Score. When you run a query for a domain, in return, for each Authority Score value [from 0 to 100], you receive a number of domains that have at least one link, pointing to queried domain."
backlinks,backlinks_categories_profile,target,
backlinks,backlinks_categories_profile,target_type,
backlinks,backlinks_categories_profile,export_columns,category_name;rating
backlinks,backlinks_categories_profile,required,target;target_type
backlinks,backlinks_categories_profile,description,"This report returns the list of categories that referring domains belong to. When you run a query for a domain, in return, in each line, you receive a category and a number of domains that have at least one link, pointing to queried domain, that have such category. Results are sorted by a number of referring domains in descending order. This report is generated, based on the first 10,000 referring domains for given queried domain."
